state,frequency,pct
00000000000001001100,83065,0.16613
00000000000011001100,3,6.0E-6
00000000000101001100,1,2.0E-6
00000000000111001100,1,2.0E-6
00000000010011001100,1,2.0E-6
00000000010101001100,2,4.0E-6
00000000010111001100,7,1.4E-5
00000000011001001100,1,2.0E-6
00000000011011001100,3,6.0E-6
00000000011101001100,4,8.0E-6
00000000011111001100,3,6.0E-6
00000000100001001100,2,4.0E-6
00000000100011001100,5,1.0E-5
00000000100101001100,5,1.0E-5
00000000100111001100,2,4.0E-6
00000000101001001100,3,6.0E-6
00000000101011001100,1,2.0E-6
00000000101101001100,2,4.0E-6
00000000101111001100,2,4.0E-6
00000000110001001100,1,2.0E-6
00000000110011001100,2,4.0E-6
00000000110111001100,3,6.0E-6
00000000111001001100,4,8.0E-6
00000000111011001100,1,2.0E-6
00000000111101001100,4,8.0E-6
00000000111111001100,2,4.0E-6
00000001000001001100,1,2.0E-6
00000001000101001100,3,6.0E-6
00000001000111001100,5,1.0E-5
00000001001001001100,2,4.0E-6
00000001001011001100,1,2.0E-6
00000001001101001100,3,6.0E-6
00000001001111001100,5,1.0E-5
00000001010001001100,2,4.0E-6
00000001010011001100,3,6.0E-6
00000001010101001100,6,1.2E-5
00000001011001001100,2,4.0E-6
00000001011011001100,4,8.0E-6
00000001011101001100,3,6.0E-6
00000001100001001100,2,4.0E-6
00000001100011001100,2,4.0E-6
00000001100101001100,1,2.0E-6
00000001100111001100,4,8.0E-6
00000001101001001100,3,6.0E-6
00000001101011001100,3,6.0E-6
00000001101101001100,3,6.0E-6
00000001101111001100,2,4.0E-6
00000001110001001100,2,4.0E-6
00000001110101001100,3,6.0E-6
00000001111001001100,2,4.0E-6
00000001111011001100,3,6.0E-6
00000001111101001100,6,1.2E-5
00000001111111001100,1,2.0E-6
00000010000001001100,3,6.0E-6
00000010010001001100,4,8.0E-6
00000010010011001100,6,1.2E-5
00000010010101001100,5,1.0E-5
00000010010111001100,4,8.0E-6
00000010011001001100,5,1.0E-5
00000010011011001100,2,4.0E-6
00000010011101001100,2,4.0E-6
00000010011111001100,2,4.0E-6
00000010100001001100,1,2.0E-6
00000010100011001100,2,4.0E-6
00000010100101001100,5,1.0E-5
00000010100111001100,2,4.0E-6
00000010110011001100,3,6.0E-6
00000010110101001100,3,6.0E-6
00000010110111001100,5,1.0E-5
00000010111001001100,6,1.2E-5
00000010111011001100,4,8.0E-6
00000010111101001100,3,6.0E-6
00000010111111001100,6,1.2E-5
00000100000001001100,4,8.0E-6
00000100000011001100,3,6.0E-6
00000100000101001100,2,4.0E-6
00000100000111001100,3,6.0E-6
00000100001001001100,1,2.0E-6
00000100001011001100,2,4.0E-6
00000100001101001100,2,4.0E-6
00000100001111001100,10,2.0E-5
00000100010001001100,3,6.0E-6
00000100101011001100,5,1.0E-5
00000100101101001100,3,6.0E-6
00000100101111001100,3,6.0E-6
00000101000001001100,1,2.0E-6
00000101000011001100,4,8.0E-6
00000101000101001100,3,6.0E-6
