state,frequency,pct
00000000000000000000000000000011001,62,6.2E-4
00000001000010100110100000000011001,82,8.2E-4
00000010000101001011100000000011001,1,1.0E-5
00000010000101001101000000000011001,94,9.4E-4
00000010000101001101001000000011001,1,1.0E-5
00000011000111110011011000000011001,1,1.0E-5
00000011000111110011100000000011001,77,7.7E-4
00000100001010011001111000000011001,2,2.0E-5
00000100001010011010000000000011001,75,7.5E-4
00000100001010011010001000000011001,2,2.0E-5
00000101001101000000000000000011001,1,1.0E-5
00000101001101000000001000000011001,1,1.0E-5
00000101001101000000011000000011001,1,1.0E-5
00000101001101000000100000000011001,71,7.1E-4
00000101001101000000101000000011001,3,3.0E-5
00000110001111100110110000000011001,2,2.0E-5
00000110001111100110111000000011001,2,2.0E-5
00000110001111100111000000000011001,59,5.9E-4
00000110001111100111001000000011001,1,1.0E-5
00000111010010001100010000000011001,1,1.0E-5
00000111010010001101000000000011001,1,1.0E-5
00000111010010001101011000000011001,4,4.0E-5
00000111010010001101100000000011001,73,7.3E-4
00000111010010001101101000000011001,2,2.0E-5
00000111010010001101110000000011001,1,1.0E-5
00000111010010001110001000000011001,2,2.0E-5
00000111010010001110010000000011001,1,1.0E-5
00001000010100110010010000000011001,1,1.0E-5
00001000010100110011110000000011001,2,2.0E-5
00001000010100110011111000000011001,5,5.0E-5
00001000010100110100000000000011001,61,6.1E-4
00001000010100110100001000000011001,10,1.0E-4
00001000010100110100011000000011001,1,1.0E-5
00001000010100110100101000000011001,1,1.0E-5
00001000010100110100110000000011001,1,1.0E-5
00001001010111011001101000000011001,1,1.0E-5
00001001010111011001111000000011001,1,1.0E-5
00001001010111011010001000000011001,1,1.0E-5
00001001010111011010010000000011001,2,2.0E-5
00001001010111011010011000000011001,7,7.0E-5
00001001010111011010100000000011001,61,6.1E-4
00001001010111011010101000000011001,6,6.0E-5
00001001010111011010111000000011001,1,1.0E-5
00001010011010000000010000000011001,2,2.0E-5
00001010011010000000011000000011001,1,1.0E-5
00001010011010000000101000000011001,1,1.0E-5
00001010011010000000111000000011001,7,7.0E-5
00001010011010000001000000000011001,54,5.4E-4
00001010011010000001001000000011001,11,1.1E-4
00001010011010000001010000000011001,2,2.0E-5
00001010011010000001011000000011001,3,3.0E-5
00001010011010000001100000000011001,1,1.0E-5
00001010011010000001101000000011001,1,1.0E-5
00001011011100100110111000000011001,1,1.0E-5
00001011011100100111001000000011001,1,1.0E-5
00001011011100100111011000000011001,5,5.0E-5
00001011011100100111100000000011001,48,4.8E-4
00001011011100100111101000000011001,13,1.3E-4
00001011011100100111110000000011001,3,3.0E-5
00001011011100100111111000000011001,1,1.0E-5
00001011011100101000000000000011001,2,2.0E-5
00001011011100101001011000000011001,1,1.0E-5
00001011011100101001100000000011001,1,1.0E-5
00001011011100111010011000000011001,1,1.0E-5
00001100011111001100010000000011001,1,1.0E-5
00001100011111001101000000000011001,1,1.0E-5
00001100011111001101100000000011001,1,1.0E-5
00001100011111001101110000000011001,2,2.0E-5
00001100011111001101111000000011001,6,6.0E-5
00001100011111001110000000000011001,53,5.3E-4
00001100011111001110001000000011001,19,1.9E-4
00001100011111001110010000000011001,3,3.0E-5
00001100011111001110011000000011001,1,1.0E-5
00001100011111001110101000000011001,1,1.0E-5
00001100011111010001001000000011001,1,1.0E-5
00001101100001110010100000000011001,1,1.0E-5
00001101100001110100001000000011001,2,2.0E-5
00001101100001110100010000000011001,2,2.0E-5
00001101100001110100011000000011001,5,5.0E-5
00001101100001110100100000000011001,48,4.8E-4
00001101100001110100101000000011001,16,1.6E-4
00001101100001110100110000000011001,2,2.0E-5
00001101100001110100111000000011001,1,1.0E-5
