state,frequency,pct
00000000000000000000000000101010110,1255,0.00251
00000000010011100101100000101010110,1,2.0E-6
00000000011100101001001000101010110,1,2.0E-6
00000000100000000010000000101010110,1,2.0E-6
00000000100101111111100000101010110,1,2.0E-6
00000000100111111100110000101010110,1,2.0E-6
00000000100111111101011000101010110,1,2.0E-6
00000000100111111101100000101010110,1282,0.002564
00000001001111111010101000101010110,1,2.0E-6
00000001001111111010111000101010110,1,2.0E-6
00000001001111111011000000101010110,1175,0.00235
00000001001111111011001000101010110,3,6.0E-6
00000001001111111011011000101010110,1,2.0E-6
00000001110111111000001000101010110,1,2.0E-6
00000001110111111000010000101010110,1,2.0E-6
00000001110111111000011000101010110,2,4.0E-6
00000001110111111000100000101010110,1111,0.002222
00000001110111111000101000101010110,5,1.0E-5
00000001110111111000111000101010110,1,2.0E-6
00000001110111111001001000101010110,1,2.0E-6
00000010001001000101111000101010110,1,2.0E-6
00000010001010101110000000101010110,1,2.0E-6
00000010011111110011001000101010110,1,2.0E-6
00000010011111110101101000101010110,1,2.0E-6
00000010011111110101110000101010110,2,4.0E-6
00000010011111110101111000101010110,10,2.0E-5
00000010011111110110000000101010110,1156,0.002312
00000010011111110110001000101010110,8,1.6E-5
00000010011111110110010000101010110,2,4.0E-6
00000010011111110111000000101010110,1,2.0E-6
00000010011111111001010000101010110,1,2.0E-6
00000010100111011100010000101010110,1,2.0E-6
00000011000111110010101000101010110,1,2.0E-6
00000011000111110010110000101010110,1,2.0E-6
00000011000111110011000000101010110,2,4.0E-6
00000011000111110011010000101010110,1,2.0E-6
00000011000111110011011000101010110,5,1.0E-5
00000011000111110011100000101010110,1195,0.00239
00000011000111110011101000101010110,21,4.2E-5
00000011000111110011110000101010110,3,6.0E-6
00000011000111110011111000101010110,6,1.2E-5
00000011000111110100000000101010110,2,4.0E-6
00000011000111110100001000101010110,2,4.0E-6
00000011000111110100010000101010110,1,2.0E-6
00000011000111110100100000101010110,2,4.0E-6
00000011001100010000111000101010110,1,2.0E-6
00000011010011011011010000101010110,1,2.0E-6
00000011101111100110000000101010110,1,2.0E-6
00000011101111101010011000101010110,1,2.0E-6
00000011101111101111010000101010110,1,2.0E-6
00000011101111110000011000101010110,1,2.0E-6
00000011101111110000101000101010110,3,6.0E-6
00000011101111110000110000101010110,3,6.0E-6
00000011101111110000111000101010110,19,3.8E-5
00000011101111110001000000101010110,1172,0.002344
00000011101111110001001000101010110,17,3.4E-5
00000011101111110001010000101010110,1,2.0E-6
00000011101111110001011000101010110,3,6.0E-6
00000011101111110001100000101010110,3,6.0E-6
00000011101111110010010000101010110,1,2.0E-6
00000011101111110011000000101010110,1,2.0E-6
00000011101111110101010000101010110,1,2.0E-6
00000100010111101011010000101010110,1,2.0E-6
00000100010111101100100000101010110,1,2.0E-6
00000100010111101101101000101010110,1,2.0E-6
00000100010111101101110000101010110,1,2.0E-6
00000100010111101101111000101010110,1,2.0E-6
00000100010111101110000000101010110,3,6.0E-6
00000100010111101110001000101010110,2,4.0E-6
00000100010111101110010000101010110,5,1.0E-5
00000100010111101110011000101010110,23,4.6E-5
00000100010111101110100000101010110,1123,0.002246
00000100010111101110101000101010110,39,7.8E-5
00000100010111101110110000101010110,5,1.0E-5
00000100010111101110111000101010110,1,2.0E-6
00000100010111101111001000101010110,1,2.0E-6
00000100010111101111010000101010110,2,4.0E-6
00000100010111101111011000101010110,1,2.0E-6
00000100010111101111101000101010110,1,2.0E-6
00000100010111101111110000101010110,1,2.0E-6
00000100010111110010010000101010110,1,2.0E-6
00000100010111110011001000101010110,1,2.0E-6
00000100010111110011011000101010110,1,2.0E-6
00000100011000001100000000101010110,1,2.0E-6
00000100100100000100111000101010110,1,2.0E-6
00000100111111100001000000101010110,1,2.0E-6
00000100111111100110000000101010110,1,2.0E-6
00000100111111101000101000101010110,1,2.0E-6
00000100111111101001011000101010110,1,2.0E-6
00000100111111101010011000101010110,1,2.0E-6
00000100111111101011000000101010110,1,2.0E-6
00000100111111101011001000101010110,1,2.0E-6
00000100111111101011010000101010110,1,2.0E-6
00000100111111101011011000101010110,3,6.0E-6
00000100111111101011100000101010110,1,2.0E-6
00000100111111101011101000101010110,6,1.2E-5
00000100111111101011110000101010110,3,6.0E-6
00000100111111101011111000101010110,26,5.2E-5
00000100111111101100000000101010110,1160,0.00232
00000100111111101100001000101010110,33,6.6E-5
00000100111111101100010000101010110,7,1.4E-5
00000100111111101100011000101010110,2,4.0E-6
00000100111111101100100000101010110,1,2.0E-6
00000100111111101100101000101010110,3,6.0E-6
00000100111111101100110000101010110,1,2.0E-6
00000100111111101101001000101010110,2,4.0E-6
00000100111111101101101000101010110,1,2.0E-6
00000101000010110010100000101010110,1,2.0E-6
00000101100111011101010000101010110,1,2.0E-6
00000101100111100111111000101010110,1,2.0E-6
00000101100111101000101000101010110,1,2.0E-6
00000101100111101000110000101010110,2,4.0E-6
00000101100111101000111000101010110,2,4.0E-6
00000101100111101001001000101010110,5,1.0E-5
00000101100111101001010000101010110,6,1.2E-5
00000101100111101001011000101010110,18,3.6E-5
00000101100111101001100000101010110,1090,0.00218
00000101100111101001101000101010110,62,1.24E-4
00000101100111101001110000101010110,10,2.0E-5
00000101100111101001111000101010110,5,1.0E-5
00000101100111101010000000101010110,3,6.0E-6
00000101100111101010001000101010110,3,6.0E-6
00000101100111101010010000101010110,1,2.0E-6
00000101100111101010110000101010110,1,2.0E-6
00000101100111101011001000101010110,1,2.0E-6
00000101100111101011110000101010110,2,4.0E-6
00000101100111101101011000101010110,1,2.0E-6
00000101111101100100101000101010110,1,2.0E-6
00000110001111011110010000101010110,1,2.0E-6
00000110001111100010111000101010110,1,2.0E-6
00000110001111100100000000101010110,1,2.0E-6
00000110001111100101011000101010110,1,2.0E-6
00000110001111100101100000101010110,1,2.0E-6
00000110001111100101101000101010110,2,4.0E-6
00000110001111100101110000101010110,1,2.0E-6
00000110001111100101111000101010110,1,2.0E-6
00000110001111100110000000101010110,2,4.0E-6
00000110001111100110010000101010110,1,2.0E-6
00000110001111100110101000101010110,6,1.2E-5
00000110001111100110110000101010110,5,1.0E-5
00000110001111100110111000101010110,23,4.6E-5
00000110001111100111000000101010110,1065,0.00213
00000110001111100111001000101010110,66,1.32E-4
00000110001111100111010000101010110,12,2.4E-5
00000110001111100111011000101010110,4,8.0E-6
00000110001111100111100000101010110,5,1.0E-5
00000110001111100111101000101010110,3,6.0E-6
00000110001111100111110000101010110,1,2.0E-6
00000110001111100111111000101010110,1,2.0E-6
00000110001111101000011000101010110,1,2.0E-6
00000110001111101000101000101010110,1,2.0E-6
00000110001111101001001000101010110,2,4.0E-6
00000110001111101001010000101010110,1,2.0E-6
00000110001111101011111000101010110,1,2.0E-6
00000110001111101100101000101010110,1,2.0E-6
00000110010101110111100000101010110,1,2.0E-6
00000110100110111001011000101010110,1,2.0E-6
00000110101111110111011000101010110,1,2.0E-6
00000110110111011101101000101010110,1,2.0E-6
00000110110111100001101000101010110,1,2.0E-6
00000110110111100011001000101010110,1,2.0E-6
00000110110111100011010000101010110,1,2.0E-6
00000110110111100011110000101010110,2,4.0E-6
00000110110111100011111000101010110,4,8.0E-6
00000110110111100100000000101010110,1,2.0E-6
00000110110111100100001000101010110,4,8.0E-6
00000110110111100100010000101010110,7,1.4E-5
00000110110111100100011000101010110,43,8.6E-5
00000110110111100100100000101010110,1053,0.002106
00000110110111100100101000101010110,70,1.4E-4
00000110110111100100110000101010110,20,4.0E-5
00000110110111100100111000101010110,5,1.0E-5
00000110110111100101000000101010110,2,4.0E-6
00000110110111100101001000101010110,3,6.0E-6
00000110110111100101010000101010110,2,4.0E-6
00000110110111100101011000101010110,1,2.0E-6
00000110110111100101100000101010110,1,2.0E-6
00000110110111100110010000101010110,1,2.0E-6
00000110110111100110110000101010110,3,6.0E-6
00000110110111100111101000101010110,1,2.0E-6
00000110110111101000001000101010110,1,2.0E-6
00000110110111101000100000101010110,1,2.0E-6
00000110110111101010100000101010110,1,2.0E-6
00000110110111111010011000101010110,1,2.0E-6
00000111011001010111011000101010110,1,2.0E-6
00000111011111001101000000101010110,1,2.0E-6
00000111011111010000100000101010110,1,2.0E-6
00000111011111011001110000101010110,1,2.0E-6
00000111011111011010000000101010110,1,2.0E-6
00000111011111011111101000101010110,1,2.0E-6
00000111011111100000101000101010110,1,2.0E-6
00000111011111100000110000101010110,2,4.0E-6
00000111011111100001010000101010110,2,4.0E-6
00000111011111100001011000101010110,2,4.0E-6
00000111011111100001100000101010110,2,4.0E-6
00000111011111100001101000101010110,6,1.2E-5
00000111011111100001110000101010110,11,2.2E-5
00000111011111100001111000101010110,36,7.2E-5
00000111011111100010000000101010110,1026,0.002052
00000111011111100010001000101010110,89,1.78E-4
00000111011111100010010000101010110,18,3.6E-5
00000111011111100010011000101010110,6,1.2E-5
00000111011111100010100000101010110,3,6.0E-6
00000111011111100010101000101010110,1,2.0E-6
00000111011111100010110000101010110,1,2.0E-6
00000111011111100010111000101010110,4,8.0E-6
00000111011111100011000000101010110,1,2.0E-6
00000111011111100011100000101010110,1,2.0E-6
00000111011111100100011000101010110,1,2.0E-6
00000111011111101001010000101010110,1,2.0E-6
00000111011111101010000000101010110,1,2.0E-6
00000111011111110001101000101010110,1,2.0E-6
00001000000110101100100000101010110,1,2.0E-6
00001000000111010101000000101010110,1,2.0E-6
00001000000111010110101000101010110,1,2.0E-6
00001000000111011011111000101010110,1,2.0E-6
00001000000111011100100000101010110,1,2.0E-6
00001000000111011100110000101010110,1,2.0E-6
00001000000111011101100000101010110,1,2.0E-6
00001000000111011110000000101010110,1,2.0E-6
00001000000111011110001000101010110,2,4.0E-6
00001000000111011110010000101010110,3,6.0E-6
00001000000111011110100000101010110,1,2.0E-6
00001000000111011110101000101010110,2,4.0E-6
00001000000111011110110000101010110,3,6.0E-6
00001000000111011110111000101010110,1,2.0E-6
00001000000111011111000000101010110,6,1.2E-5
00001000000111011111001000101010110,2,4.0E-6
00001000000111011111010000101010110,20,4.0E-5
00001000000111011111011000101010110,32,6.4E-5
00001000000111011111100000101010110,1022,0.002044
00001000000111011111101000101010110,100,2.0E-4
00001000000111011111110000101010110,25,5.0E-5
00001000000111011111111000101010110,6,1.2E-5
00001000000111100000000000101010110,5,1.0E-5
00001000000111100000001000101010110,1,2.0E-6
00001000000111100000010000101010110,1,2.0E-6
00001000000111100000011000101010110,2,4.0E-6
00001000000111100000111000101010110,3,6.0E-6
00001000000111100001001000101010110,1,2.0E-6
00001000000111100010001000101010110,1,2.0E-6
00001000000111101001110000101010110,1,2.0E-6
00001000011100011110101000101010110,1,2.0E-6
00001000101110100000110000101010110,1,2.0E-6
00001000101111000111000000101010110,1,2.0E-6
00001000101111011001111000101010110,1,2.0E-6
00001000101111011010111000101010110,1,2.0E-6
00001000101111011011101000101010110,1,2.0E-6
00001000101111011011110000101010110,1,2.0E-6
00001000101111011100000000101010110,2,4.0E-6
00001000101111011100001000101010110,2,4.0E-6
00001000101111011100010000101010110,2,4.0E-6
00001000101111011100011000101010110,2,4.0E-6
00001000101111011100100000101010110,5,1.0E-5
00001000101111011100101000101010110,8,1.6E-5
00001000101111011100110000101010110,10,2.0E-5
00001000101111011100111000101010110,46,9.2E-5
00001000101111011101000000101010110,946,0.001892
00001000101111011101001000101010110,132,2.64E-4
00001000101111011101010000101010110,24,4.8E-5
00001000101111011101011000101010110,9,1.8E-5
00001000101111011101100000101010110,6,1.2E-5
00001000101111011101101000101010110,3,6.0E-6
00001000101111011101110000101010110,2,4.0E-6
00001000101111011101111000101010110,2,4.0E-6
00001000101111011110000000101010110,1,2.0E-6
00001000101111011110011000101010110,1,2.0E-6
00001000101111011110100000101010110,1,2.0E-6
00001000101111011110101000101010110,1,2.0E-6
00001000101111100010111000101010110,1,2.0E-6
00001001010110101001110000101010110,1,2.0E-6
00001001010111010100001000101010110,1,2.0E-6
00001001010111010100100000101010110,1,2.0E-6
00001001010111010101110000101010110,1,2.0E-6
00001001010111011000111000101010110,1,2.0E-6
00001001010111011001000000101010110,1,2.0E-6
00001001010111011001001000101010110,1,2.0E-6
00001001010111011001100000101010110,2,4.0E-6
00001001010111011001101000101010110,1,2.0E-6
00001001010111011001110000101010110,2,4.0E-6
00001001010111011001111000101010110,2,4.0E-6
00001001010111011010000000101010110,3,6.0E-6
00001001010111011010001000101010110,5,1.0E-5
00001001010111011010010000101010110,17,3.4E-5
00001001010111011010011000101010110,37,7.4E-5
00001001010111011010100000101010110,879,0.001758
00001001010111011010101000101010110,171,3.42E-4
00001001010111011010110000101010110,26,5.2E-5
00001001010111011010111000101010110,9,1.8E-5
00001001010111011011000000101010110,7,1.4E-5
00001001010111011011001000101010110,2,4.0E-6
00001001010111011011010000101010110,2,4.0E-6
00001001010111011011100000101010110,3,6.0E-6
00001001010111011011101000101010110,2,4.0E-6
00001001010111011011110000101010110,1,2.0E-6
00001001010111011011111000101010110,2,4.0E-6
00001001010111011100001000101010110,3,6.0E-6
00001001010111011101000000101010110,1,2.0E-6
00001001010111011101100000101010110,1,2.0E-6
00001001010111100000101000101010110,1,2.0E-6
00001001010111100001110000101010110,1,2.0E-6
00001001010111100101000000101010110,1,2.0E-6
00001001010111100110110000101010110,1,2.0E-6
00001001011100100011010000101010110,1,2.0E-6
00001001100110000010111000101010110,1,2.0E-6
00001001101001101100001000101010110,1,2.0E-6
00001001101110001100011000101010110,1,2.0E-6
00001001111000111011000000101010110,1,2.0E-6
00001001111011110111011000101010110,1,2.0E-6
00001001111111010000011000101010110,1,2.0E-6
00001001111111010110000000101010110,1,2.0E-6
00001001111111010110010000101010110,1,2.0E-6
00001001111111010110101000101010110,1,2.0E-6
00001001111111010110110000101010110,3,6.0E-6
00001001111111010110111000101010110,3,6.0E-6
00001001111111010111000000101010110,1,2.0E-6
00001001111111010111001000101010110,1,2.0E-6
00001001111111010111010000101010110,1,2.0E-6
00001001111111010111011000101010110,1,2.0E-6
00001001111111010111100000101010110,2,4.0E-6
00001001111111010111101000101010110,9,1.8E-5
00001001111111010111110000101010110,10,2.0E-5
00001001111111010111111000101010110,50,1.0E-4
00001001111111011000000000101010110,854,0.001708
00001001111111011000001000101010110,174,3.48E-4
00001001111111011000010000101010110,30,6.0E-5
